識別號,年度,主聘系所,教師姓名,專兼任,狀態,專案案號,專案案名,專案類型,計畫性質,是否為補助在籍學生之人才培育相關課程(計畫)或就業學程,執行起始日期,執行結束日期,工作類別,經費狀態,計畫總金額(元),政府出資金額,企業出資金額,其他單位出資金額,學校(研究學院)出資金額,主要經費來源,單位名稱,次要經費來源,受惠機構名稱,國內委託單位,國外委託單位,國內合作單位,國外合作單位,他校轉入的專案,專案已轉至他校
1262221,114,嘉義分部護理系,林家惠,專任,續聘,EZRPF6Q0041,融入自主學習引導模式的混成式教學以落實健康促進的教學實踐研究,政府學術研究計畫-其他政府部會學術研究計畫(非國科會專題研究計畫),--,,2025/8/1,2026/7/31,主持人,原核定,"250,700","250,700",0,0,0,教育部,教育部,,,教育部,,,,否,否
1262214,114,嘉義分部護理系,王俞蓉,專任,續聘,EZRPF6Q0051,運用生成式AI提升實證護理課程之教學成效：從學習困境到精準輔助,政府學術研究計畫-其他政府部會學術研究計畫(非國科會專題研究計畫),--,,2025/8/1,2026/7/31,主持人,原核定,"325,450","325,450",0,0,0,教育部,教育部,,,教育部,,,,否,否
1262197,114,嘉義分部護理系,郭雅雯,專任,續聘,FCRPF6P0072,常長庚你在地服務 愛健康互助志工推廣計畫(第三期)2/3,其他單位委訓計畫,--,,2025/12/1,2026/11/30,主持人,原核定,"2,000,000",0,0,"2,000,000",0,其他單位(包含法人機構),財團法人慶寶勤勞社會福利慈善事業基金會,,,財團法人慶寶勤勞社會福利慈善事業基金會,,,,否,否
1262211,114,嘉義分部護理系,蘇清菁,專任,續聘,FCRPF6P0072,常長庚你在地服務 愛健康互助志工推廣計畫(第三期)2/3,其他單位委訓計畫,--,,2025/12/1,2026/11/30,共同(協同)主持人,,0,0,0,0,0,其他單位(包含法人機構),財團法人慶寶勤勞社會福利慈善事業基金會,,,財團法人慶寶勤勞社會福利慈善事業基金會,,,,否,否
1262218,114,嘉義分部護理系,劉美君,專任,續聘,FCRPF6P0072,常長庚你在地服務 愛健康互助志工推廣計畫(第三期)2/3,其他單位委訓計畫,--,,2025/12/1,2026/11/30,共同(協同)主持人,,0,0,0,0,0,其他單位(包含法人機構),財團法人慶寶勤勞社會福利慈善事業基金會,,,財團法人慶寶勤勞社會福利慈善事業基金會,,,,否,否
1262529,114,嘉義分部護理系,陳美燕,專任,續聘,FCRPF6Q0011,2025年麥寮園區附近居民健康促進實施作業計畫,企業產學計畫(含公營及私人企業),A5諮詢顧問,,2025/1/1,2025/12/31,主持人,原核定,"7,000,000",0,"7,000,000",0,0,企業(公營、民營、國外及私人企業),台灣塑膠工業股份有限公司/南亞塑膠工業股份有限公司/台灣化學纖維股份有限公司/台塑石化股份有限公司,,,台灣塑膠工業股份有限公司/南亞塑膠工業股份有限公司/台灣化學纖維股份有限公司/台塑石化股份有限公司,,,,否,否
1262528,114,嘉義分部護理系,陳美燕,專任,續聘,FCRPF6Q0021,2025年辦理麥寮與台西鄉居民健康檢查人體試驗暨倫理審查相關資料收集與建立,企業產學計畫(含公營及私人企業),A5諮詢顧問,,2025/3/1,2026/2/28,主持人,原核定,"2,900,000",0,"2,900,000",0,0,企業(公營、民營、國外及私人企業),台塑石化股份有限公司,,,台塑石化股份有限公司,,,,否,否
1262176,114,嘉義分部護理系,高月梅,專任,續聘,FCRPF6Q0031,國中技藝教育扎根計畫-嘉義縣立六嘉國中醫護社團,其他單位產學計畫,A4技術服務,,2025/9/1,2026/8/31,共同(協同)主持人,,0,0,0,0,0,其他單位(包含法人機構),公益信託王長庚社會福利基金,,,公益信託王長庚社會福利基金,,,,否,否
1262208,114,嘉義分部護理系,江耀璋,專任,續聘,FCRPF6Q0031,國中技藝教育扎根計畫-嘉義縣立六嘉國中醫護社團,其他單位產學計畫,A4技術服務,,2025/9/1,2026/8/31,主持人,原核定,"476,626",0,0,"476,626",0,其他單位(包含法人機構),公益信託王長庚社會福利基金,,,公益信託王長庚社會福利基金,,,,否,否
1262217,114,嘉義分部護理系,郭嘉琪,專任,續聘,FCRPF6Q0031,國中技藝教育扎根計畫-嘉義縣立六嘉國中醫護社團,其他單位產學計畫,A4技術服務,,2025/9/1,2026/8/31,共同(協同)主持人,,0,0,0,0,0,其他單位(包含法人機構),公益信託王長庚社會福利基金,,,公益信託王長庚社會福利基金,,,,否,否
1262175,114,嘉義分部護理系,高月梅,專任,續聘,FCRPF6Q0051,「國中技藝教育扎根計畫」_嘉義縣立太保國中在地農業社團,其他單位產學計畫,A4技術服務,,2025/9/1,2026/8/31,主持人,原核定,"521,289",0,0,"521,289",0,其他單位(包含法人機構),公益信託王成更社會福利基金,,,公益信託王長庚社會福利基金,,,,否,否
1262179,114,嘉義分部護理系,鄧志娟,專任,續聘,FCRPF6Q0051,「國中技藝教育扎根計畫」_嘉義縣立太保國中在地農業社團,其他單位產學計畫,A4技術服務,,2025/9/1,2026/8/31,共同(協同)主持人,,0,0,0,0,0,其他單位(包含法人機構),公益信託王成更社會福利基金,,,公益信託王成更社會福利基金,,,,否,否
1262209,114,嘉義分部護理系,江耀璋,專任,續聘,FCRPF6Q0051,「國中技藝教育扎根計畫」_嘉義縣立太保國中在地農業社團,其他單位產學計畫,A4技術服務,,2025/9/1,2026/8/31,共同(協同)主持人,,0,0,0,0,0,其他單位(包含法人機構),公益信託王成更社會福利基金,,,公益信託王成更社會福利基金,,,,否,否
1262202,114,嘉義分部護理系,洪瑞鎂,專任,續聘,GZRPF6Q0021,114學年度勞動部補助大專校院辦理就業學程計畫-多元新視界:跨文化護理人才培育實務學程,政府其他案件,--,,2025/7/1,2026/8/31,共同(協同)主持人,,0,0,0,0,0,勞動部,勞動部勞動力發展署,,,勞動部勞動力發展署,,,,否,否
1262206,114,嘉義分部護理系,林春只,專任,續聘,NMRPF3Q0101,急診周邊靜脈導管臨床照護指引遵從性-運用實證照護於周邊靜脈導管放置和照護之國際合作研究,政府學術研究計畫-國科會專題研究計畫,--,,2025/8/1,2026/7/31,共同(協同)主持人,,0,0,0,0,0,國科會,國科會,,,國科會,,,,否,否
1262215,114,嘉義分部護理系,王俞蓉,專任,續聘,NMRPF6P0012,多元正念課程結合數位科技輔助學習介入社區高齡者於健康老化之成效：隨機對照試驗研究(2/2),政府學術研究計畫-國科會專題研究計畫,--,,2025/5/1,2026/4/30,主持人,原核定,"964,000","964,000",0,0,0,國科會,國科會,,,國科會,,,,否,否
1262204,114,嘉義分部護理系,洪嫦巧,專任,續聘,NMRPF6P0022,以病人觀點出發的人工智能照護系統建構與測試:以壓力性損傷為例(2/3),政府學術研究計畫-國科會專題研究計畫,--,,2025/8/1,2026/7/31,主持人,原核定,"1,080,000","1,080,000",0,0,0,國科會,國科會,,,國科會,,,,否,否
1262198,114,嘉義分部護理系,郭雅雯,專任,續聘,NMRPF6Q0011,點讀有聲互動科技結合口腔延緩衰弱照護方案於社區老人身心健康之研究:以農業縣建置、測試與成效評值為例,政府學術研究計畫-國科會專題研究計畫,--,,2025/8/1,2026/7/31,主持人,原核定,"775,000","775,000",0,0,0,國科會,國科會,,,國科會,,,,否,否
1262177,114,嘉義分部護理系,高月梅,專任,續聘,NMRPF6Q0021,探討多元照護組合活動及應用階梯式設計延緩社區老人衰弱之成效,政府學術研究計畫-國科會專題研究計畫,--,,2025/8/1,2026/7/31,共同(協同)主持人,,0,0,0,0,0,國科會,國科會,,,國科會,,,,否,否
1262219,114,嘉義分部護理系,陳柏安,專任,續聘,NMRPF6Q0021,探討多元照護組合活動及應用階梯式設計延緩社區老人衰弱之成效,政府學術研究計畫-國科會專題研究計畫,--,,2025/8/1,2026/7/31,主持人,原核定,"700,000","700,000",0,0,0,國科會,國科會,,,國科會,,,,否,否
1262195,114,嘉義分部護理系,郭星君,專任,續聘,NMRPF6Q0031,純化新天然物猴頭素抑制人類大腸癌細胞與運用蛋白質體大數據探討誘導鐵依賴性細胞死亡之機制研究,政府學術研究計畫-國科會專題研究計畫,--,,2025/8/1,2026/7/31,主持人,原核定,"1,250,000","1,250,000",0,0,0,國科會,國科會,,,國科會,,,,否,否
1262178,114,嘉義分部護理系,潘美玉,專任,續聘,NMRPF6Q0041,以可信任專業活動建構「臺灣介護食士」核心職能能力教育課程及成效評量,政府學術研究計畫-國科會專題研究計畫,--,,2025/8/1,2026/7/31,共同(協同)主持人,,0,0,0,0,0,國科會,國科會,,,國科會,,,,否,否
1262222,114,嘉義分部護理系,林家惠,專任,續聘,NMRPF6Q0041,以可信任專業活動建構「臺灣介護食士」核心職能能力教育課程及成效評量,政府學術研究計畫-國科會專題研究計畫,--,,2025/8/1,2026/7/31,主持人,原核定,"958,000","958,000",0,0,0,國科會,國科會,,,國科會,,,,否,否
1262193,114,嘉義分部護理系,張家豪,專任,續聘,NMRPF6Q0051,提升自我照顧能力對有心血管代謝疾病農漁民的效益(2/3),政府學術研究計畫-國科會專題研究計畫,--,,2025/8/1,2026/7/31,共同(協同)主持人,,0,0,0,0,0,國科會,國科會,,,國科會,,,,否,否
1262183,114,嘉義分部護理系,梁蕙芳,專任,續聘,NMRPF6Q0061,探索護理人的保護因子、韌力與提升續航力-以復原力觀點 (探索第一年之後),政府學術研究計畫-國科會專題研究計畫,--,,2025/8/1,2026/7/31,主持人,原核定,"938,000","938,000",0,0,0,國科會,國科會,,,國科會,,,,否,否
1262542,114,嘉義分部護理系,陳美燕,專任,續聘,NZRPF6Q0011,114年外籍高階人才來臺實習試辦專案,政府其他案件,--,,2025/7/1,2025/8/21,主持人,原核定,"62,000","62,000",0,0,0,國科會,國科會,,,國科會,,,,否,否
1273525,114,嘉義分部護理系,林家惠,專任,續聘,PZRPF6Q0021,114-115年度「兒童及青少年心理健康促進計畫」,政府產學計畫,A1專題研究,,2025/9/19,2026/12/20,主持人,原核定,"1,100,000","1,100,000",0,0,0,政府其他部會,衛生福利部,,,衛生福利部,,,,否,否
1262207,114,嘉義分部護理系,林春只,專任,續聘,SCRPF6Q0011,採討心臟瓣膜術後口服抗凝劑服藥APP對術後服藥遵從性及自我效能之成效,其他單位產學計畫,A1專題研究,,2025/1/1,2025/12/15,共同(協同)主持人,,0,0,0,0,0,其他單位(包含法人機構),台灣護理學會,,,台灣護理學會,,,,否,否
1262225,114,嘉義分部護理系,辜漢章,專任,續聘,SCRPF6Q0011,採討心臟瓣膜術後口服抗凝劑服藥APP對術後服藥遵從性及自我效能之成效,其他單位產學計畫,A1專題研究,,2025/1/1,2026/6/15,主持人,原核定,"250,000",0,0,"250,000",0,其他單位(包含法人機構),台灣護理學會,,,台灣護理學會,,,,否,否
1262530,114,嘉義分部護理系,陳美燕,專任,續聘,SCRPF6Q0041,2025年協助麥寮園區附近居民疾病預防篩檢計畫問卷調查,其他單位產學計畫,A4技術服務,,2025/1/1,2025/12/31,主持人,原核定,"696,000",0,0,"696,000",0,其他單位(包含法人機構),長庚醫療財團法人雲林長庚紀念醫院,,,長庚醫療財團法人雲林長庚紀念醫院,,,,否,否
1285131,114,嘉義分部護理系,江耀璋,專任,續聘,SCRPF6Q0051,食品級萃取液對糖尿病足傷口癒合的促進作用與機制分析,企業產學計畫(含公營及私人企業),A1專題研究,,2025/10/1,2026/9/30,共同(協同)主持人,,0,0,0,0,0,企業(公營、民營、國外及私人企業),台灣酵素村股份有限公司,,,台灣酵素村股份有限公司,,,,否,否
